song id,genre id,song title,song artist,uri
108,1,Naughty List (with Dixie),"Liam Payne, Dixie",https://p.scdn.co/mp3-preview/c0e9b1aaff279e6a97332b6c85ea0a8acd3f81ee?cid=9950ac751e34487dbbe027c4fd7f8e99
109,1,2000 Miles - 2007 Remaster,Pretenders,https://p.scdn.co/mp3-preview/c6c5576e1db91ae26f9dc5d7213a0622a9bc51f5?cid=9950ac751e34487dbbe027c4fd7f8e99
110,1,"Holidays (feat. Earth, Wind & Fire)","Meghan Trainor, Earth\, Wind & Fire",https://p.scdn.co/mp3-preview/c4abfd0c89602acf643263d2754a4c58ff165c94?cid=9950ac751e34487dbbe027c4fd7f8e99
111,1,Frosty the Snowman,Fiona Apple,https://p.scdn.co/mp3-preview/5010e1bbb67554a62cc3d7981a2ebb2baadaa56f?cid=9950ac751e34487dbbe027c4fd7f8e99
112,1,Christmas Time Is Here,Brett Eldredge,https://p.scdn.co/mp3-preview/481cf5fe2b6bb5eaa1c2f048af35aadc5db58a21?cid=9950ac751e34487dbbe027c4fd7f8e99
113,1,You and Me and Christmastime,Sheffield,
114,1,Christmas (Baby Please Come Home),ROZES,https://p.scdn.co/mp3-preview/7ebca763799bd44b8370e11b769d4307cbf11168?cid=9950ac751e34487dbbe027c4fd7f8e99
115,1,"Cuddle Up, Cozy Down Christmas","Dolly Parton, Michael Bublé",
116,1,Little Drummer Boy,for KING & COUNTRY,https://p.scdn.co/mp3-preview/167a024bc4cea6014cc1a3e70c78e2bb1d193bc7?cid=9950ac751e34487dbbe027c4fd7f8e99
117,1,The Lighthouse Keeper,Sam Smith,https://p.scdn.co/mp3-preview/e559825a04156394ebfa6fcc155d8a4d67ff34f1?cid=9950ac751e34487dbbe027c4fd7f8e99
118,1,Christmas Time Is Here - Recorded at Sound Emporium Nashville,Devin Dawson,https://p.scdn.co/mp3-preview/83c3437fc7319362488025ef4041e4b696567f87?cid=9950ac751e34487dbbe027c4fd7f8e99
119,1,Glittery - From The Kacey Musgraves Christmas Show,"Kacey Musgraves, Troye Sivan",https://p.scdn.co/mp3-preview/7f6eba552138de429f013679918e57b1ce5e9841?cid=9950ac751e34487dbbe027c4fd7f8e99
120,2,Happy Birthday,Stevie Wonder,
121,2,Celebration - Single Version,Kool & The Gang,
122,2,Birthday,Katy Perry,https://p.scdn.co/mp3-preview/a60c0bb416dee39f58507994bfae965fff3fe8d4?cid=9950ac751e34487dbbe027c4fd7f8e99
123,2,Best Day Of My Life,American Authors,
124,2,"Happy - From ""Despicable Me 2""",Pharrell Williams,
125,2,Good Time,"Owl City, Carly Rae Jepsen",https://p.scdn.co/mp3-preview/97ad280309ec5518b51fee06186984ad9a20f321?cid=9950ac751e34487dbbe027c4fd7f8e99
126,2,I Gotta Feeling,Black Eyed Peas,
127,2,On Top Of The World,Imagine Dragons,
128,2,Walking On Sunshine,Katrina & The Waves,https://p.scdn.co/mp3-preview/27b4eb723337cb13604727c4e4e421dad7cb1adf?cid=9950ac751e34487dbbe027c4fd7f8e99
129,2,Just Dance,"Lady Gaga, Colby O'Donis",https://p.scdn.co/mp3-preview/6ce1af69e4463d45be9d7b63aa4fb3aeaae3a900?cid=9950ac751e34487dbbe027c4fd7f8e99
130,2,We Are Family,Sister Sledge,https://p.scdn.co/mp3-preview/26f5886af9af728d758a84ff045baab992878692?cid=9950ac751e34487dbbe027c4fd7f8e99
131,2,Feel This Moment (feat. Christina Aguilera),"Pitbull, Christina Aguilera",https://p.scdn.co/mp3-preview/68f4c7804fff74deba04b861d13d2743101233d5?cid=9950ac751e34487dbbe027c4fd7f8e99
132,2,We Can't Stop,Miley Cyrus,https://p.scdn.co/mp3-preview/38ac1429ee3574d6a98d34d50462c2ae4c36cd79?cid=9950ac751e34487dbbe027c4fd7f8e99
133,2,Firework,Katy Perry,https://p.scdn.co/mp3-preview/df412d6c055ea3746481e045eedcfc758d88b921?cid=9950ac751e34487dbbe027c4fd7f8e99
134,2,Pretty Shining People,George Ezra,https://p.scdn.co/mp3-preview/622a416ab31a2a1e751bff3ad8ec0e04d45172cc?cid=9950ac751e34487dbbe027c4fd7f8e99
135,2,Love Generation - Radio Edit,Bob Sinclar,
136,2,Love Is In The Air,John Paul Young,https://p.scdn.co/mp3-preview/a4731e73ed55f1c6a12b0a2c140fddf0ca89864b?cid=9950ac751e34487dbbe027c4fd7f8e99
137,2,I'm So Excited,The Pointer Sisters,https://p.scdn.co/mp3-preview/561e7f455013c0307a17b0551b95b1ae71a20375?cid=9950ac751e34487dbbe027c4fd7f8e99
138,2,Solo Dance,Martin Jensen,https://p.scdn.co/mp3-preview/76414b590c5de583123c339afc983f9bd840634f?cid=9950ac751e34487dbbe027c4fd7f8e99
139,2,It's a Beautiful Day,Michael Bublé,https://p.scdn.co/mp3-preview/7eea4fbd8aa6c11d2dc0dee7158b4b50c26202a6?cid=9950ac751e34487dbbe027c4fd7f8e99
140,2,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,"Daft Punk, Pharrell Williams, Nile Rodgers",https://p.scdn.co/mp3-preview/92d40a2ae211cceb264e9ee1e67fe05f4d788200?cid=9950ac751e34487dbbe027c4fd7f8e99
141,2,Safe And Sound,Capital Cities,
142,2,Lush Life,Zara Larsson,
143,2,Happy Birthday (feat. John Legend),"Kygo, John Legend",https://p.scdn.co/mp3-preview/e72ab84bd293b3382ed6e9d87da79e3bd4e0bb0a?cid=9950ac751e34487dbbe027c4fd7f8e99
144,2,Celebration,Madonna,https://p.scdn.co/mp3-preview/2ec0810a762af769cc126a38d86ee855f6cd4b7f?cid=9950ac751e34487dbbe027c4fd7f8e99
145,2,Party In The U.S.A.,Miley Cyrus,https://p.scdn.co/mp3-preview/64e5d7979445e8402011934fe1c201675f1c210e?cid=9950ac751e34487dbbe027c4fd7f8e99
146,2,Diamonds,Rihanna,https://p.scdn.co/mp3-preview/665538cfb3a3f43d59c918dedee9e6b812b9b653?cid=9950ac751e34487dbbe027c4fd7f8e99
147,2,Fascination,Alphabeat,https://p.scdn.co/mp3-preview/4662d6bdae25ef53f8d82e63b2db5ded2d1f0499?cid=9950ac751e34487dbbe027c4fd7f8e99
148,2,Uptown Funk (feat. Bruno Mars),"Mark Ronson, Bruno Mars",https://p.scdn.co/mp3-preview/f33e7b185ab89fc1eb78cf9b023213c94f7c05a1?cid=9950ac751e34487dbbe027c4fd7f8e99
149,2,Birthday,Selena Gomez,
150,2,Shut Up and Dance,WALK THE MOON,https://p.scdn.co/mp3-preview/50171ad2206e8f6b2ecad2266d353472427c358e?cid=9950ac751e34487dbbe027c4fd7f8e99
151,2,In Da Club,50 Cent,https://p.scdn.co/mp3-preview/ec7b4b02e7ef823452bc43370eb3c0a068573a85?cid=9950ac751e34487dbbe027c4fd7f8e99
152,2,My Best Days Are Ahead Of Me,Danny Gokey,https://p.scdn.co/mp3-preview/3014534d13dde293b7430d56283364f10d96ecd7?cid=9950ac751e34487dbbe027c4fd7f8e99
153,2,Birthday,Anne-Marie,https://p.scdn.co/mp3-preview/0fda873f05d264746e4caeebe83352fddd6eb96a?cid=9950ac751e34487dbbe027c4fd7f8e99
154,2,Amazing,Seal,https://p.scdn.co/mp3-preview/2df1b536d1a0c7d1f569c060c4bf425db6a57cf3?cid=9950ac751e34487dbbe027c4fd7f8e99
155,2,We Are Your Friends - Justice Vs Simian,"Justice, Simian",https://p.scdn.co/mp3-preview/83ad9450379a888b7fa5c7fd8424a03f9d5c9c08?cid=9950ac751e34487dbbe027c4fd7f8e99
156,2,B-Day Song,"Madonna, M.I.A.",https://p.scdn.co/mp3-preview/5fa5766e6af1a570371f5ca419f99e742ee99ced?cid=9950ac751e34487dbbe027c4fd7f8e99
157,2,Feel the Love (feat. John Newman) - Radio Edit,"Rudimental, John Newman",https://p.scdn.co/mp3-preview/6b07bf849ac8936d7b7f1a5b8215ab1a3b0749b2?cid=9950ac751e34487dbbe027c4fd7f8e99
158,2,Birthday,Kings of Leon,
159,2,Happy Birthday Mr. President,Marilyn Monroe,
160,3,Miami,Will Smith,https://p.scdn.co/mp3-preview/c718a0f4a871eef327e00db76e9baf0961657154?cid=9950ac751e34487dbbe027c4fd7f8e99
161,3,Return of the Mack,Mark Morrison,https://p.scdn.co/mp3-preview/77bbf1e3bc27bfe6339579f71fc0b612391aa5e3?cid=9950ac751e34487dbbe027c4fd7f8e99
162,3,"Jumpin', Jumpin'",Destiny's Child,https://p.scdn.co/mp3-preview/900921fe7ea36b001edc1c21f146c4732ff43032?cid=9950ac751e34487dbbe027c4fd7f8e99
163,3,Everybody (Backstreet's Back) - Radio Edit,Backstreet Boys,https://p.scdn.co/mp3-preview/2da7ea19b35ecbfaf2dd7273e9b305a4e090bbc9?cid=9950ac751e34487dbbe027c4fd7f8e99
164,3,Say You'll Be There,Spice Girls,https://p.scdn.co/mp3-preview/284ced5dc4ecbd6d8d10820fe243fcb844984e1b?cid=9950ac751e34487dbbe027c4fd7f8e99
